config,n,run,alloc_ms,mag_ms
O0,1000000,1,2,4
O0,1000000,2,1,3
O0,1000000,3,1,3
O0,3000000,1,5,11
O0,3000000,2,5,10
O0,3000000,3,5,11
O0,10000000,1,20,40
O0,10000000,2,19,36
O0,10000000,3,19,37
O0,30000000,1,60,124
O0,30000000,2,58,110
O0,30000000,3,56,115
O2,1000000,1,0,0
O2,1000000,2,0,0
O2,1000000,3,0,1
O2,3000000,1,2,3
O2,3000000,2,1,3
O2,3000000,3,2,3
O2,10000000,1,6,11
O2,10000000,2,6,11
O2,10000000,3,6,11
O2,30000000,1,20,33
O2,30000000,2,19,34
O2,30000000,3,19,33
O3,1000000,1,0,0
O3,1000000,2,0,1
O3,1000000,3,0,0
O3,3000000,1,1,3
O3,3000000,2,1,3
O3,3000000,3,1,3
O3,10000000,1,6,11
O3,10000000,2,6,11
O3,10000000,3,8,11
O3,30000000,1,21,34
O3,30000000,2,19,33
O3,30000000,3,20,34
