n,threads,alloc_avg_ms,mag_avg_ms,speedup,efficiency
1000000,1,0.6667,1.3333,1.0000,1.0000
1000000,2,0.0000,0.0000,inf,inf
1000000,4,0.0000,0.0000,inf,inf
1000000,8,0.0000,0.0000,inf,inf
3000000,1,1.6667,3.0000,1.0000,1.0000
3000000,2,1.3333,1.0000,3.0000,1.5000
3000000,4,1.0000,0.3333,9.0000,2.2500
3000000,8,1.0000,0.0000,inf,inf
10000000,1,5.6667,12.0000,1.0000,1.0000
10000000,2,6.0000,5.0000,2.4000,1.2000
10000000,4,5.6667,2.6667,4.5000,1.1250
10000000,8,5.6667,2.3333,5.1429,0.6429
30000000,1,25.3333,36.0000,1.0000,1.0000
30000000,2,17.6667,16.3333,2.2041,1.1020
30000000,4,18.0000,8.6667,4.1538,1.0385
30000000,8,18.0000,6.6667,5.4000,0.6750
