study,n,processes,run,wall_s,work_s,zeroes,ones
strong,10000000,1,1,0.354622,0.268415,4319287,5680713
strong,10000000,1,2,0.354745,0.271007,4319287,5680713
strong,10000000,1,3,0.356986,0.275240,4319287,5680713
strong,10000000,2,1,0.223133,0.274890,4319287,5680713
strong,10000000,2,2,0.218904,0.269889,4319287,5680713
strong,10000000,2,3,0.220078,0.270798,4319287,5680713
strong,10000000,4,1,0.167809,0.298590,4319287,5680713
strong,10000000,4,2,0.162179,0.284308,4319287,5680713
strong,10000000,4,3,0.166046,0.307485,4319287,5680713
strong,10000000,8,1,0.184806,0.466974,4319287,5680713
strong,10000000,8,2,0.212895,0.525782,4319287,5680713
strong,10000000,8,3,0.222731,0.496399,4319287,5680713
strong,10000000,16,1,0.290121,0.841464,4319287,5680713
strong,10000000,16,2,0.191474,0.921951,4319287,5680713
strong,10000000,16,3,0.165929,0.684740,4319287,5680713
strong,10000000,32,1,0.185172,1.128486,4319287,5680713
strong,10000000,32,2,0.176936,0.768786,4319287,5680713
strong,10000000,32,3,0.175269,0.786337,4319287,5680713
